LINK,PRICE
https://www.amazon.co.uk/Bose-QuietComfort-Wireless-Cancelling-Headphones-Black/dp/B0CCZ1L489/ref=sr_1_4?crid=1YGSUO0QJN58V&dib=eyJ2IjoiMSJ9.76YlszdLgoMEtQc0Kc6bj04AvvtPwKYSI9U4L9XkS3amGYxxv6CAv2LvGUAPV2aBmOhGrl8a2WjFEXxLNN0M7jG5v-JpUbRr--zgwzHcO6DOHgGyo58De9iH4PxhbymW5b2c32k7bSoJxrwbdTkDjZaoeMqUCzv0eb7h9RD16eRmmj5F9xwOrEl5iHaca5YDFCozJ733dJP8I4X-4d7vcdB-xQnYphLsTibCc-e09ns.oc-lHMwkAtfcVGGRLzyFsNJjYUVZEeW97sziw1SICfg&dib_tag=se&keywords=bose+headphones&qid=1726653592&sprefix=bose+h%2Caps%2C92&sr=8-4,350
https://www.amazon.in/Apple-iPhone-Pro-Max-256/dp/B0CHWV2WYK/?_encoding=UTF8&pd_rd_w=Yxqw5&content-id=amzn1.sym.7602422b-8057-46fd-9c2b-62792e54a2b3%3Aamzn1.symc.9556efd4-e363-43c4-82ba-62279bb2c460&pf_rd_p=7602422b-8057-46fd-9c2b-62792e54a2b3&pf_rd_r=DEZ72RB4RM3TVB9EBCQH&pd_rd_wg=35nC1&pd_rd_r=e40258dc-1733-43dd-96c8-9349ad178dba&ref_=pd_hp_d_atf_ci_mcx_mr_ca_hp_atf_d,150000
